track	longLabel	shortLabel	bigDataUrl	maxHeightPixels	color	itemRgb	group	type
pilot untr tpt1 J1 -s	JH201 untreated tpt1d J1 minusstrand	untr Tpt1 J1 - 0	G1_S45_L002_R1_001.5pe.neg.bw	100:30:10	"215,25,28"		untreated	bigWig
pilot untr tpt1 J1 +s	JH201 untreated tpt1d J1 plusstrand	untr Tpt1 J1 + 0	G1_S45_L002_R1_001.5pe.pos.bw	100:30:10	"215,25,28"		untreated	bigWig
pilot Tm tpt1 J1 -s	JH201 Tm tpt1d J1 minusstrand	Tm Tpt1 J1 - 0	G2_S46_L002_R1_001.5pe.neg.bw	100:30:10	"215,25,28"		Tm	bigWig
pilot Tm tpt1 J1 +s	JH201 Tm tpt1d J1 plusstrand	Tm Tpt1 J1 + 0	G2_S46_L002_R1_001.5pe.pos.bw	100:30:10	"215,25,28"		Tm	bigWig
untr wt noexo -s 1	untreated wt noexo minusstrand rep1	untr WT noX - 1	A1_S1_L004_R1_001.5pe.neg.bw	100:30:10	"171,217,233"		untreated	bigWig
untr wt noexo +s 1	untreated wt noexo plusstrand rep1	untr WT noX + 1	A1_S1_L004_R1_001.5pe.pos.bw	100:30:10	"171,217,233"		untreated	bigWig
untr wt noexo -s 2	untreated wt noexo minusstrand rep2	untr WT noX - 2	A2_S1_L004_R1_001.5pe.neg.bw	100:30:10	"171,217,233"		untreated	bigWig
untr wt noexo +s 2	untreated wt noexo plusstrand rep2	untr WT noX + 2	A2_S1_L004_R1_001.5pe.pos.bw	100:30:10	"171,217,233"		untreated	bigWig
untr wt noexo -s 3	untreated wt noexo minusstrand rep3	untr WT noX - 3	A3_S1_L004_R1_001.5pe.neg.bw	100:30:10	"171,217,233"		untreated	bigWig
untr wt noexo +s 3	untreated wt noexo plusstrand rep3	untr WT noX + 3	A3_S1_L004_R1_001.5pe.pos.bw	100:30:10	"171,217,233"		untreated	bigWig
